municipio,Codigo.DANE,Ano,Mes,NBI,zwnd,wpac,qbo,NeutralNina,NeutralNino,NinoNina,excess_cases1
ANZA,5044,2008,1,6.36,22.0,2.8,-14.94,1.0,,1.0,1.0
ANZA,5044,2008,2,6.36,23.6,6.5,-12.65,1.0,,1.0,1.0
ANZA,5044,2008,3,6.36,15.5,6.8,-9.84,,,,1.0
ANZA,5044,2008,4,6.36,15.3,6.0,-6.67,,,,1.0
ANZA,5044,2008,5,6.36,7.6,5.1,-1.79,,,,1.0
ANZA,5044,2008,6,6.36,3.9,6.2,4.45,,,,0.0
ANZA,5044,2008,7,6.36,-0.4,6.6,7.49,,,,0.0
ANZA,5044,2008,8,6.36,-3.0,6.8,7.23,,,,0.0
ANZA,5044,2008,9,6.36,-1.3,5.2,6.65,,,,0.0
ANZA,5044,2008,10,6.36,1.1,5.6,7.3,,,,0.0
ANZA,5044,2008,11,6.36,15.3,6.1,6.91,,,,0.0
ANZA,5044,2008,12,6.36,21.8,3.6,7.73,,,,0.0
ANZA,5044,2009,1,6.36,17.6,4.7,8.35,,,,0.0
ANZA,5044,2009,2,6.36,20.9,7.1,8.19,,,,0.0
ANZA,5044,2009,3,6.36,16.7,2.9,7.07,,,,0.0
ANZA,5044,2009,4,6.36,9.3,4.3,9.74,,,,0.0
ANZA,5044,2009,5,6.36,3.3,3.8,11.34,,,,0.0
ANZA,5044,2009,6,6.36,0.0,3.2,9.13,,1.0,0.0,0.0
ANZA,5044,2009,7,6.36,2.8,2.8,4.0,,1.0,0.0,0.0
ANZA,5044,2009,8,6.36,-5.7,3.0,2.84,,1.0,0.0,0.0
ANZA,5044,2009,9,6.36,3.9,1.5,3.69,,1.0,0.0,0.0
ANZA,5044,2009,10,6.36,-4.2,-0.3,4.49,,1.0,0.0,0.0
ANZA,5044,2009,11,6.36,3.8,1.6,3.51,,1.0,0.0,0.0
ANZA,5044,2009,12,6.36,7.2,-0.6,1.44,,1.0,0.0,0.0
ANZA,5044,2010,1,6.36,9.7,0.9,1.74,,1.0,0.0,0.0
ANZA,5044,2010,2,6.36,10.0,0.7,0.78,,1.0,0.0,0.0
ANZA,5044,2010,3,6.36,5.1,2.5,-0.34,,1.0,0.0,0.0
ANZA,5044,2010,4,6.36,5.3,4.0,-6.57,,,,0.0
ANZA,5044,2010,5,6.36,6.6,6.7,-12.68,,,,0.0
ANZA,5044,2010,6,6.36,1.4,6.5,-17.59,,,,0.0
ANZA,5044,2010,7,6.36,-0.3,7.6,-18.32,1.0,,1.0,0.0
ANZA,5044,2010,8,6.36,0.2,7.9,-12.51,1.0,,1.0,0.0
ANZA,5044,2010,9,6.36,-4.4,8.2,-4.3,1.0,,1.0,0.0
ANZA,5044,2010,10,6.36,10.2,5.8,4.07,1.0,,1.0,0.0
ANZA,5044,2010,11,6.36,14.6,5.4,8.58,1.0,,1.0,0.0
ANZA,5044,2010,12,6.36,22.5,5.3,8.51,1.0,,1.0,0.0
ANZA,5044,2011,1,6.36,27.3,4.4,6.0,1.0,,1.0,0.0
ANZA,5044,2011,2,6.36,24.3,4.3,6.02,1.0,,1.0,0.0
ANZA,5044,2011,3,6.36,19.8,6.1,6.31,1.0,,1.0,0.0
ANZA,5044,2011,4,6.36,17.0,6.2,6.25,1.0,,1.0,0.0
ANZA,5044,2011,5,6.36,13.2,4.8,8.24,,,,0.0
ANZA,5044,2011,6,6.36,7.5,5.8,9.3,,,,0.0
ANZA,5044,2011,7,6.36,6.3,5.3,9.35,,,,0.0
ANZA,5044,2011,8,6.36,-0.9,5.4,9.06,,,,0.0
ANZA,5044,2011,9,6.36,1.2,6.7,10.0,,,,0.0
ANZA,5044,2011,10,6.36,0.6,4.0,11.46,,,,0.0
ANZA,5044,2011,11,6.36,10.5,3.1,8.5,,,,0.0
ANZA,5044,2011,12,6.36,24.9,5.7,2.4,,,,0.0
ANZA,5044,2012,1,6.36,25.9,4.1,0.27,,,,0.0
ANZA,5044,2012,2,6.36,17.5,6.2,-0.56,,,,0.0
ANZA,5044,2012,3,6.36,19.0,5.2,-0.83,,,,0.0
ANZA,5044,2012,4,6.36,11.1,3.8,-0.32,,,,0.0
ANZA,5044,2012,5,6.36,7.6,4.4,-1.04,0.0,0.0,,0.0
ANZA,5044,2012,6,6.36,3.7,4.6,-4.25,0.0,0.0,,0.0
ANZA,5044,2012,7,6.36,1.3,5.4,-8.11,0.0,0.0,,0.0
ANZA,5044,2012,8,6.36,-6.1,4.9,-9.76,0.0,0.0,,0.0
ANZA,5044,2012,9,6.36,2.4,2.5,-11.42,0.0,0.0,,0.0
ANZA,5044,2012,10,6.36,0.8,3.3,-10.51,0.0,0.0,,0.0
ANZA,5044,2012,11,6.36,8.7,2.5,-10.65,0.0,0.0,,0.0
ANZA,5044,2012,12,6.36,11.3,2.8,-11.7,0.0,0.0,,0.0
ANZA,5044,2013,1,6.36,21.3,1.5,-9.65,0.0,0.0,,0.0
ANZA,5044,2013,2,6.36,14.0,4.7,-8.66,0.0,0.0,,0.0
ANZA,5044,2013,3,6.36,16.3,3.2,-8.32,0.0,0.0,,0.0
ANZA,5044,2013,4,6.36,13.0,6.2,-5.71,0.0,0.0,,0.0
ANZA,5044,2013,5,6.36,6.8,6.4,-3.6,0.0,0.0,,0.0
ANZA,5044,2013,6,6.36,4.1,4.9,1.99,0.0,0.0,,0.0
